Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=290 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=875 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=355 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=1322 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=4413 total = 0 seconds
Log datetime=2025-02-12 14:38:11 Preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-08, dashboard_id = 14,query_id=874 total = 3 seconds
Log datetime=2025-02-12 16:06:18 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-08, dashboard_id = 319,query_id=4226 total = 0 seconds
Log datetime=2025-02-12 16:08:15 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-08, dashboard_id = 319,query_id=4226 total = 0 seconds
Log datetime=2025-02-12 16:09:42 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-08, dashboard_id = 319,query_id=4226 total = 0 seconds
Log datetime=2025-02-12 16:16:07 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-08, dashboard_id = 319,query_id=4226 total = 0 seconds
Log datetime=2025-02-12 16:17:35 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-08, dashboard_id = 319,query_id=4226 total = 0 seconds
Log datetime=2025-02-13 10:10:59 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-09, dashboard_id = 319,query_id=4226 total = 0 seconds
Log datetime=2025-02-14 09:27:13 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-10, dashboard_id = 319,query_id=4226 total = 0 seconds
Log datetime=2025-02-14 15:22:21 Data is already preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-10, dashboard_id = 319,query_id=4226 total = 0 seconds
Log datetime=2025-02-14 15:40:57 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-10, dashboard_id = 319,query_id=4238 total = 0 seconds
Log datetime=2025-02-14 20:45:45 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-10, dashboard_id = 319,query_id=4238 total = 0 seconds
Log datetime=2025-02-14 20:48:04 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-10, dashboard_id = 319,query_id=4238 total = 0 seconds
Log datetime=2025-02-14 20:58:49 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-10, dashboard_id = 319,query_id=4238 total = 0 seconds
Log datetime=2025-02-14 21:05:52 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-10, dashboard_id = 319,query_id=4238 total = 0 seconds
Log datetime=2025-02-14 21:45:00 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-10, dashboard_id = 319,query_id=4238 total = 12 seconds
Log datetime=2025-02-14 22:53:22 Data is already preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-10, dashboard_id = 319,query_id=4238 total = 0 seconds
Log datetime=2025-02-14 23:00:54 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-10, dashboard_id = 319,query_id=4238 total = 174 seconds
Log datetime=2025-02-14 23:35:37 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-10, dashboard_id = 319,query_id=4248 total = 3 seconds
Log datetime=2025-02-15 00:08:17 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4258 total = 2 seconds
Log datetime=2025-02-15 00:19:00 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4259 total = 2 seconds
Log datetime=2025-02-15 10:01:41 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4232 total = 3 seconds
Log datetime=2025-02-15 10:09:11 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4237 total = 2 seconds
Log datetime=2025-02-15 10:12:30 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4237 total = 3 seconds
Log datetime=2025-02-15 10:14:37 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4237 total = 2 seconds
Log datetime=2025-02-15 10:20:26 Preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4237 total = 3 seconds
Log datetime=2025-02-15 10:22:25 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4237 total = 3 seconds
Log datetime=2025-02-15 10:23:13 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4237 total = 2 seconds
Log datetime=2025-02-15 10:30:15 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4237 total = 9 seconds
Log datetime=2025-02-15 10:35:15 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4243 total = 2 seconds
Log datetime=2025-02-15 10:40:18 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4243 total = 3 seconds
Log datetime=2025-02-15 11:02:54 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4243 total = 13 seconds
Log datetime=2025-02-15 11:09:06 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4255 total = 9 seconds
Log datetime=2025-02-15 11:13:14 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4240 total = 10 seconds
Log datetime=2025-02-15 11:15:56 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4240 total = 3 seconds
Log datetime=2025-02-15 11:24:23 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4233 total = 11 seconds
Log datetime=2025-02-15 11:34:29 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4256 total = 12 seconds
Log datetime=2025-02-15 11:40:58 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4228 total = 27 seconds
Log datetime=2025-02-15 11:47:40 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4270 total = 13 seconds
Log datetime=2025-02-15 11:53:57 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4270 total = 19 seconds
Log datetime=2025-02-15 13:28:18 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4265 total = 10 seconds
Log datetime=2025-02-15 13:33:39 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4258 total = 2 seconds
Log datetime=2025-02-15 13:34:42 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4258 total = 3 seconds
